,Season,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,height_cm,weight,weight_kg,draft_round,draft_pick,3PM_ratio,avg_height_cm,avg_weight,avg_BMI,Pts/Game,Ast/Game,FGA/Game,FGM/Game,ORB/Game,DRB/Game,REB/Game,MIN/Game,3PM/Game,3PA/Game,FTA/Game,FTM/Game,TOV/Game,PF/Game,STL/Game,BLK/Game
0,1999 - 2000,17279,468414.0,73403,161880,9840,27376,38595,51070,28745,43846,23739,60030,83769,44380,15375,10175,195239,673978.0,68577.0,75075.0,34040.0,382.0,3451.0,0.13405446643870142,200.51754385964912,219.51754385964912,24.754758438333692,100.03407242311287,22.738859214284798,82.94201283479998,37.609294342184484,12.16308650040349,30.757406909272568,42.920493409676055,27.10886046646218,5.041693886177613,14.026566242682755,26.16659621616775,19.77481458709603,14.727997028269863,22.46525509485199,7.877646697152519,5.2133369199041875
1,2000 - 2001,15869,445472.0,68913,153979,9496,26605,37087,49172,26655,39176,22114,57276,79390,41692,14351,9821,184412,621228.0,63302.0,69446.0,31490.0,351.0,3268.0,0.13779693236399518,200.95873015873016,220.46349206349205,24.754168980280845,99.3527763810071,22.46174843761224,82.9568637310538,37.1271819553193,11.914014797787516,30.857697004525534,42.77171180231305,28.07183817505829,5.116011780762876,14.33356080741326,26.491631348322677,19.98078442640615,14.36049852740464,21.106242367646004,7.731664391925868,5.291106960706846
2,2001 - 2002,15766,443097.0,68398,151741,10228,28367,35052,46226,25160,37565,22466,56510,78976,41078,14326,9964,182075,629544.0,64148.0,70838.0,32118.0,343.0,3580.0,0.14953653615602797,201.0909090909091,222.06269592476488,24.89848576883859,98.61948963770912,22.249575149459375,82.18931746321911,37.04723796369644,12.168531946729498,30.608196399433982,42.77672834616348,28.104592160345046,5.539915639239264,15.364762117549882,25.037948801278276,18.985639713200495,13.627715827459902,20.346786369575963,7.759565061374822,5.396922118633166
3,2002 - 2003,18176,492219.0,74278,166750,10953,31100,39433,51559,28726,43238,24160,62442,86602,44446,16246,10069,198940,718602.0,73303.0,81094.0,36769.0,394.0,3895.0,0.14745954387571017,201.38186813186815,222.78571428571428,24.908048595086704,97.00072528691497,21.671329225405767,81.3052726530264,36.21704972786503,11.780122262651382,30.44596002998665,42.22608229263804,27.080710827464788,5.340549633394891,15.163981886111669,25.13954154553156,19.227051373474,14.006448349210412,21.082323112273198,7.921352081085858,4.9095219810694015
4,2003 - 2004,16577,459832.1,67904,153347,10242,29455,36009,47816,26980,39211,22803,58455,81258,41024,15072,9984,182057,661898.0,67428.0,74750.0,33897.0,357.0,3686.0,0.15083058435438265,201.2776119402985,223.13432835820896,24.976151157835183,95.02094351394781,21.411641336044177,80.0363437002332,35.44110991816361,11.901561461237701,30.509396799396995,42.4109582606347,27.739162695300717,5.345603319124524,15.373437391604458,24.956587415276143,18.79416421776557,14.081661545594578,20.46538290823977,7.866523454974109,5.210945473358646
5,2004 - 2005,17611,472956.0,72021,159490,11896,32955,39992,52398,26540,42119,23268,58235,81503,42419,14665,9472,195933,715641.0,72569.0,80232.0,36386.0,395.0,3883.0,0.16517404645867179,200.4668508287293,221.6353591160221,25.011550128128974,99.42557024332073,21.525385025245477,80.93268718443153,36.546824651764645,11.807271712379166,29.551163321746632,41.3584350341258,26.855715178013742,6.036586912947504,16.72290868495167,26.589196458021462,20.293811686499378,13.46763758150864,21.373150990789842,7.441707050973029,4.806535914545963
6,2005 - 2006,16767,475073.6999999997,72609,158777,12386,34040,40428,53413,26619,41733,20486,57624,78110,41914,13848,8422,198032,664612.0,67346.0,74447.0,33764.0,357.0,3412.0,0.17058491371593054,200.4345238095238,221.56845238095238,25.013217355359153,100.04275126154116,21.1743146379183,80.21172293898826,36.68096129084816,10.349215290174984,29.110767445135373,39.459982735310355,28.333852209697604,6.25721861681672,17.196489723594475,26.983434359763564,20.42361006302813,13.447513512114023,21.08287619373585,6.995798757119163,4.254666170743615
7,2006 - 2007,16522,452841.8999999999,69759,151445,12086,33236,37785,49954,27185,39800,19974,55678,75652,40946,13597,8520,189389,659055.0,66824.0,74008.0,33574.0,364.0,3629.0,0.17325363035593974,200.67267267267266,222.24624624624624,25.03700538846125,100.37357408844015,21.70081876257476,80.26377417814032,36.971313829396095,10.585946220965862,29.508576834431626,40.09452305539749,27.408419077593507,6.4054143399716335,17.61462444177538,26.474935291986014,20.025532089676336,14.407677381443726,21.09345447053376,7.2062236290413955,4.515483218315267
8,2007 - 2008,18055,484674.1000000002,76866,166245,13656,37156,39783,52088,26565,40930,22611,62364,84975,43556,14550,9680,207171,716782.0,72726.0,80733.0,36623.0,391.0,4143.0,0.17765982358910312,200.90055248618785,223.01933701657458,25.065887392132296,102.58654217339027,21.567977327445384,82.3208832491771,38.06235984138618,11.196472021096232,30.88128703390586,42.0777590550021,26.84431459429522,6.762152134805632,18.39883748688035,25.79283687739864,19.69967035581228,13.154406228845316,20.26763963661354,7.20484135628456,4.793324008854607
9,2008 - 2009,17484,478622.09999999957,75120,162105,13810,37104,39491,50883,26387,40274,20952,59975,80927,42757,14300,9350,203541,697453.0,70619.0,78468.0,35593.0,394.0,3956.0,0.18383919062832801,200.6221590909091,222.92045454545453,25.12257382887326,102.063485994483,21.440046333004698,81.28584116780239,37.66813107877805,10.50615924337803,30.07383069022515,40.57998993360319,27.37486273164033,6.924878730004325,18.60540915264884,25.51474325987039,19.802345106922576,13.231482624809857,20.19497219204882,7.170584057861104,4.6884588070630295
10,2009 - 2010,17250,472192.9000000003,76162,163758,12864,35793,38582,50313,26732,39772,21120,61169,82289,42433,14152,9355,203770,691781.0,69984.0,78398.0,35564.0,388.0,4005.0,0.16890312754391953,200.52722063037248,224.63610315186247,25.34186107781589,103.56953694136436,21.567287436977544,83.23276355913012,38.71062017239139,10.73459596702957,31.09017522288029,41.82477118990986,27.37350144927538,6.538344816281646,18.192395523100824,25.57243025043365,19.609951780299944,13.586989554480798,20.214789337154357,7.192992524877011,4.75483642384288
11,2010 - 2011,16393,449988.4000000002,71989,155230,12272,33800,37300,48114,25349,36444,19812,57117,76929,41629,13712,8779,193550,672319.0,68103.0,75945.0,34441.0,390.0,4139.0,0.17047048854686134,200.89380530973452,224.02654867256638,25.17346303299405,103.22932768933595,22.202705669746145,82.79146751338476,38.395123074283674,10.566672385332595,30.46318527322036,41.029857658552956,27.450033550905886,6.545235388290006,18.027131366052984,25.66146149545187,19.893846152478588,13.519815177457902,19.437301050427067,7.313255186133684,4.682254031437253
12,2011 - 2012,15101,393560.60000000003,60980,134620,10463,29492,28595,37706,22269,30970,18897,50712,69609,33817,12392,8476,161018,746012.0,75539.0,84662.0,38393.0,424.0,4607.0,0.1715808461790751,200.90159574468086,225.16489361702128,25.298654925992135,98.19153644953279,20.622186265596707,82.09358355485787,37.186649273326644,11.523714518170772,30.925046866988207,42.448761385158974,26.06188994106351,6.380516748881874,17.984727129697433,22.993765127911683,17.43772115399763,13.580017918460332,18.886036864462547,7.556854014350013,5.168810089221329
13,2012 - 2013,18421,481614.9999999999,75717,165324,14252,39186,34760,45827,27800,38564,22548,62815,85363,44033,15497,10409,200446,728470.0,73681.0,82495.0,37408.0,405.0,4411.0,0.1882272144960841,200.76566757493188,224.78201634877385,25.288293931890735,99.88692212659491,21.94267205132731,82.3848094432275,37.731549058895595,11.236194885956628,31.30218120282799,42.53837608878462,26.144888985397095,7.102104377978263,19.527298775993277,22.836664140444135,17.321719630825456,13.853389117863857,19.217341652564812,7.722516948184754,5.187047745605931
14,2013 - 2014,17673,470303.3999999996,75686,165322,15918,43755,36679,47937,27431,38528,20076,61144,81220,44072,15117,8643,203969,716898.0,72433.0,80712.0,36607.0,408.0,4372.0,0.21031630684670877,200.6454293628809,223.57894736842104,25.188273199329,104.08719137475944,22.490332836207454,84.36528419739264,38.62323768018691,10.24496101878065,31.20232598786233,41.44728700664297,26.611407231369864,8.123096707359553,22.32856492213326,24.462676646607296,18.717619307026077,13.998282810628215,19.661180420979324,7.714339296717826,4.410599625688442
15,2014 - 2015,16727,436082.09999999974,69349,152373,14421,40570,32346,42924,24990,35467,19429,59225,78654,41635,14178,8733,185465,687388.0,69554.0,77338.0,35080.0,391.0,4080.0,0.20794820401159353,201.02312138728323,223.52023121387282,25.089468513730292,102.07160532385996,22.914033848213457,83.85925494304863,38.16657459684773,10.6928488924448,32.594779744456396,43.287628636901196,26.070550606803355,7.936670640688995,22.327905685649572,23.623441549194535,17.801785489475503,13.753373504668051,19.519443701082903,7.802934355709629,4.806250933023853
16,2015 - 2016,16674,433289.0000000001,69880,153378,15858,44117,32628,42856,24453,34889,18772,60411,79183,40325,14135,8948,188246,695796.0,70291.0,78104.0,35438.0,385.0,3911.0,0.22693188322839153,200.83142857142857,223.15428571428572,25.10370393771921,104.26999069904842,22.33613131189575,84.95650708880214,38.706729226913204,10.397863781448407,33.46182340193265,43.859687183381055,25.985906201271447,8.783790957074837,24.43653081430638,23.738059355303267,18.072741288147167,13.544585715307793,19.325115569515955,7.829416394138783,4.956322454528038
17,2016 - 2017,22065,545365.1999999997,89504,194579,22475,62413,41355,53276,30182,44142,22628,75460,98088,52056,17469,10688,242838,875189.0,88324.0,97387.0,44173.0,494.0,4967.0,0.2511060958169467,200.73636363636365,221.33409090909092,24.91449642711303,106.86622468760389,22.90839239467426,85.62878599514605,39.38821178909107,9.957951112392216,33.20783944410096,43.16579055649318,24.71630183548605,9.890620083569694,27.466218966666755,23.4452803369192,18.19918102585204,13.282255633472769,19.425661923423064,7.68761923203021,4.70349043173272
18,2017 - 2018,21441,531665.7000000004,88448,190351,23415,64061,37446,48695,29760,43011,21447,75205,96652,50912,17036,10730,237757,855775.0,86398.0,94878.0,43035.0,479.0,4805.0,0.26473181982633864,200.92558139534884,220.646511627907,24.790362902179986,107.32623902576366,22.98226122166615,85.92662644966558,39.9264424994879,9.681421991300164,33.94840028235785,43.62982227365802,24.79668392332449,10.5697997820811,28.917870759764995,21.981481972600434,16.903554244706765,13.434005616687317,19.415659125649807,7.690245957187002,4.843645170263942
19,2018 - 2019,21295,536040.0000000001,93421,200992,25500,71165,41209,53366,30289,45368,23096,77737,100833,55106,16947,11158,253551,866286.0,87314.0,95166.0,43177.0,474.0,4548.0,0.27295790025797195,200.72183908045977,218.77241379310345,24.636213083617168,113.52182672934853,24.672487127826276,89.98970226102527,41.82717707633758,10.340720841728226,34.805014551152894,45.14573539288112,25.172106128199115,11.417058428475485,31.862547571076774,23.893440788000888,18.450414148197893,13.561226774121332,20.31251399149317,7.587642713230354,4.995746586075665
20,2019 - 2020,18366,466669.3999999997,80110,173598,24616,67763,35987,46075,26964,38748,18552,66975,85527,48097,14683,9142,220823,836876.0,84091.0,91140.0,41339.0,445.0,4486.0,0.30727749344651106,200.21666666666667,217.0,24.553319943121753,113.56544911665524,24.735455120905737,89.27844851194449,41.19918726190321,9.540972688588544,34.44408397036534,43.98505665895389,25.409419579658046,12.659582993871044,34.8493387395874,23.695575497343533,18.50749159897779,13.86711877830431,19.9274261393612,7.551212914324364,4.701572462218439
